Married,Credit.Guidelines,Other.Obligations. As.Percent. Of. Income,Non-Hispanic White,Non-Hispanic Black,Hispanic,Male,Approved,Present Loan to Value
1,1,20,1,0,0,0,1,0.8
0,0,30,1,0,0,1,1,0.8006757
0,1,36,0,1,0,0,1,0.5494506
1,1,24,1,0,0,1,1,0.9
0,1,34.7,1,0,0,0,1,0.8
0,1,40,1,0,0,0,1,0.5263158
1,1,35.6,1,0,0,1,1,0.572973
1,1,38,1,0,0,1,1,0.8
1,1,43,1,0,0,1,1,1
0,1,35,1,0,0,0,1,0.7976879
0,1,25,1,0,0,0,1,1.647059
1,1,35,0,1,0,0,1,0.8
1,1,34,1,0,1,1,1,0.5
1,1,39,1,0,0,1,1,0.8037383
1,1,29,1,0,0,1,1,0.7464789
1,1,27,1,0,0,1,1,0.6542056
1,1,36.5,1,0,0,0,1,0.8986928
1,1,35,1,0,0,1,1,0.5217391
1,1,37,0,1,0,1,1,1
1,0,37.3,0,1,0,1,0,0.9531915
1,1,42,1,0,0,1,1,0.8954248
0,1,36.7,1,0,0,1,1,0.6705883
0,1,21.7,1,0,0,0,1,0.7931035
1,1,37.3,1,0,0,1,1,0.5555556
1,1,33.7,1,0,0,1,1,0.3571429
1,1,28,1,0,0,1,1,0.6448276
0,1,36.6,1,0,0,0,1,0.8993289
1,1,26.6,1,0,0,1,1,0.6484375
1,1,19,1,0,0,1,1,0.8965517
0,1,37,0,1,0,1,1,0.8857143
0,1,37,1,0,0,1,1,0.8
1,0,38,1,0,0,0,0,0.9
1,1,34,1,0,0,1,1,0.9212121
0,1,32,1,0,0,1,1,0.8011205
1,1,28,1,0,0,1,1,0.9028571
1,1,27,1,0,0,1,1,0.22
0,1,34,1,0,0,1,1,0.7954546
1,1,37,1,0,0,1,1,0.798419
1,1,36,1,0,0,1,1,0.7638191
1,1,36.9,1,0,0,1,1,0.9191995
1,1,32,1,0,0,1,1,0.748
0,1,36.6,1,0,0,1,1,0.7185185
1,1,34,1,0,0,1,1,0.8
1,1,34,1,0,0,1,1,0.0933032
1,1,33.9,0,1,0,1,1,0.8709677
1,1,26,1,0,0,1,1,0.8
0,1,35,1,0,0,1,1,0.9
1,1,34.1,1,0,0,1,1,0.8830769
0,0,38.4,1,0,0,1,0,0.8023484
1,1,30,1,0,0,1,1,0.7837838
1,1,70,1,0,0,1,1,0.9025641
1,1,47,0,1,0,1,1,0.7258065
1,0,25,1,0,0,1,0,0.9302326
1,1,32,1,0,0,1,1,0.9
1,1,37,1,0,0,1,1,0.8684211
1,1,24,1,0,0,1,1,0.7007576
0,1,33.3,0,1,0,1,1,0.4642857
0,1,35,1,0,0,0,1,0.6206896
1,0,33.7,1,0,0,1,0,0.8
1,1,42,1,0,0,1,1,0.9545454
1,1,37,1,0,0,1,1,0.8963414
1,1,39,1,0,0,1,1,0.6462585
0,1,32,1,0,0,0,1,0.8992248
1,1,37,0,1,0,1,1,0.8994083
0,1,29.6,1,0,0,1,1,0.703125
1,1,37.3,1,0,0,1,1,0.8
0,1,34,1,0,0,0,1,0.8961039
0,0,23,1,0,0,0,0,0.5434783
1,1,34,1,0,0,1,1,0.7857143
0,1,37,1,0,1,0,1,0.8992248
1,1,28,1,0,0,1,0,0.8
1,1,33,1,0,0,1,1,0.8
0,1,33,1,0,0,1,1,0.8989547
0,0,36.1,1,0,0,1,0,0.6928407
1,1,25,1,0,0,1,1,0.8016529
0,1,46,1,0,0,1,0,0.9
0,1,29,1,0,0,0,1,0.7222222
1,1,30.3,1,0,0,1,1,0.6779661
1,1,30.6,1,0,0,1,1,0.8
1,1,31.3,1,0,0,1,1,0.74
0,1,43,1,0,0,1,1,0.8
1,1,18,1,0,0,1,1,1.055556
1,1,32,1,0,0,1,1,0.75
1,1,33,1,0,0,1,1,0.5
1,1,31.9,1,0,0,1,1,0.6558704
0,1,30.4,1,0,1,1,1,0.3644315
0,0,34.8,1,0,0,0,0,0.8
0,1,34,1,0,0,1,1,0.6153846
1,1,42.9,1,0,0,1,1,0.7513812
0,1,28,1,0,0,0,1,0.9
1,1,36.1,1,0,0,1,1,0.7478261
0,1,33,1,0,0,1,1,0.7961165
1,0,36.7,1,0,0,1,1,0.7080292
0,1,29.2,1,0,0,1,1,0.9019608
1,1,95,1,0,0,1,1,0.5470588
1,0,28,0,1,0,1,0,0.9
1,1,39,1,0,0,1,1,0.8988096
1,1,21,1,0,0,0,1,0.6129032
1,1,26.3,1,0,1,1,1,0.6153846
1,1,33.7,1,0,0,0,1,0.4273504
0,1,29.2,1,0,0,1,1,0.7220078
0,1,21.9,1,0,0,1,0,0.8
0,1,34.2,1,0,0,0,1,0.904
1,1,33,1,0,0,1,1,0.8461539
1,1,32,1,0,0,1,0,0.921875
1,1,26,1,0,0,1,1,0.8846154
0,1,45,1,0,0,1,1,2.2
0,1,28.5,1,0,0,1,1,0.6561403
1,0,25,1,0,0,1,0,0.6136364
1,1,22,0,1,0,1,1,0.6942675
0,1,56,1,0,0,0,1,2.571429
1,1,28.5,1,0,0,1,1,0.8024691
1,1,31,0,1,0,0,0,0.7985612
0,1,35.3,1,0,0,1,1,0.375
1,1,38,1,0,0,1,1,0.9542857
1,1,41,1,0,0,1,1,0.7192308
0,1,33,1,0,0,1,1,0.7
1,1,29,1,0,0,1,1,0.7192308
1,0,30,0,1,0,1,0,0.8
1,1,37,1,0,0,1,1,0.5777778
1,1,35.8,1,0,0,1,1,0.8983051
0,1,39,1,0,1,1,1,0.9010239
1,1,12,0,1,0,1,1,0.3333333
1,1,35.3,1,0,0,1,1,0.8969072
0,1,45,1,0,1,1,1,1
1,1,32,1,0,0,1,1,0.921466
1,1,31.4,1,0,0,0,1,0.8
1,1,23,1,0,0,1,1,0.5530726
0,1,21,1,0,0,1,1,0.4375
1,1,32,1,0,0,1,1,0.9043478
1,1,37.1,1,0,0,1,1,0.9020979
0,1,37.9,1,0,0,1,1,0.8
1,1,18,1,0,0,1,1,0.5789474
0,1,46,1,0,0,1,1,0.7714286
0,1,37.3,1,0,0,0,1,0.8005337
1,1,31,1,0,0,1,1,0.7236842
1,1,23,1,0,0,1,1,0.619469
1,1,26,1,0,0,1,1,0.7473684
1,1,28.7,1,0,0,1,1,0.7619048
1,1,40.4,1,0,0,1,1,0.8
1,1,34,1,0,1,1,1,0.8
1,1,35.8,0,1,0,1,1,0.9027778
1,1,37,1,0,0,1,1,1.488095
1,1,37,1,0,0,1,1,0.9230769
1,1,36,1,0,0,1,1,0.748718
1,1,14.3,1,0,0,1,1,0.0877193
1,1,36.3,1,0,0,1,1,0.4869565
0,1,38,1,0,0,1,1,0.575
0,1,47,1,0,0,1,1,1
1,1,44,1,0,0,1,1,0.4166667
1,1,8,1,0,0,1,1,0.7967033
1,0,40.7,1,0,0,1,1,0.7489362
0,1,26.6,1,0,0,1,1,0.8989899
1,1,38.6,1,0,0,1,1,0.862069
1,1,34,1,0,0,1,1,0.7966102
0,1,36,1,0,0,1,1,0.7843137
1,1,31.7,1,0,0,1,1,0.505618
0,0,35.7,1,0,0,1,1,0.7
0,1,32,1,0,0,1,1,0.8
1,1,24.4,1,0,0,1,1,0.8
1,1,47.9,0,1,0,1,1,0.7065217
0,1,35,1,0,1,0,0,0.9215686
1,1,39,1,0,0,1,1,0.6102362
1,1,32,1,0,0,1,1,0.9424461
1,1,47,1,0,0,0,1,0.9489051
1,1,28.4,1,0,0,1,1,0.3560606
0,1,39,1,0,0,1,1,0.9
1,0,11.4,1,0,1,0,1,0.5449591
1,1,39,1,0,0,1,1,0.8993289
0,1,35.7,1,0,0,1,1,0.7530864
0,1,32,1,0,0,1,0,0.921466
1,1,26,1,0,0,0,1,0.5172414
1,1,16,0,1,0,1,1,1
1,1,30.1,1,0,1,1,1,0.9022222
1,1,30,1,0,0,1,1,0.9013158
1,1,36,1,0,0,1,1,0.8
1,1,38.2,1,0,0,1,1,0.7654321
1,1,27,1,0,0,1,1,0.9
1,1,19.6,1,0,0,1,1,0.5625
1,1,33,1,0,0,1,1,0.9016393
0,1,26,1,0,0,1,1,0.2173913
1,1,34,0,1,0,1,1,0.5348837
0,1,37.7,0,1,0,0,1,0.7575758
0,1,61,1,0,1,0,1,0.8
0,1,32,1,0,0,0,1,0.893617
1,1,36,0,1,0,1,1,0.6539792
1,1,16.8,1,0,0,1,1,0.8979592
1,1,36,1,0,0,1,1,0.8
0,1,37.5,0,1,0,0,1,0.8958333
1,1,30,1,0,0,1,1,1
1,1,26.9,1,0,0,1,1,0.7987805
0,0,40,0,1,0,0,0,0.8869565
1,1,39,1,0,0,1,1,0.8986486
0,1,28,1,0,0,1,1,0.749004
1,1,31,1,0,0,1,1,0.6315789
1,1,41,1,0,0,1,1,0.5813953
1,0,33.6,0,1,0,1,0,0.8006362
1,1,38.5,1,0,0,1,1,0.7243903
1,1,37,1,0,0,1,1,0.7976879
0,1,31,1,0,0,1,1,0.9
1,1,22.8,1,0,0,1,1,0.7619048
1,0,40,1,0,0,1,1,0.8028572
1,1,22,1,0,0,1,1,0.7931035
1,1,31,1,0,1,1,1,0.8888889
1,0,35,1,0,0,1,0,0.8695652
0,1,44,1,0,0,1,1,0.6770833
1,1,28.1,1,0,0,1,1,0.4770408
0,1,32,1,0,0,1,1,0.8014706
1,1,38,1,0,0,1,1,0.8952381
0,1,35,1,0,0,0,1,0.8991597
1,1,32,1,0,0,1,1,0.8
0,1,31.1,1,0,0,1,1,0.9064748
1,1,39,1,0,0,1,1,0.7513514
0,1,34.7,1,0,0,1,0,0.76
1,1,26.6,1,0,0,1,1,0.4115226
1,1,29,1,0,0,1,1,0.40625
1,1,21.2,1,0,1,1,1,0.8823529
1,1,36,1,0,0,1,1,0.8053691
1,1,34,1,0,0,1,1,0.8785715
0,1,29,1,0,0,0,1,0.3736264
1,1,32.8,1,0,0,1,1,0.9
0,1,20.9,1,0,0,1,1,0.7285975
1,0,20,1,0,0,1,0,0.9391892
1,1,37,1,0,0,1,0,0.7073171
1,1,31.6,1,0,0,0,1,0.8015267
1,1,35.8,1,0,0,1,1,0.904
1,1,41,1,0,0,1,1,0.72
1,1,44,1,0,0,1,1,0.8212389
0,1,32,1,0,0,1,1,0.2777778
1,1,37,1,0,0,1,1,0.65
1,1,32,1,0,0,0,1,0.6814815
1,1,44,1,0,0,1,1,0.8034188
1,1,34,1,0,0,1,1,0.8
1,1,26.6,1,0,0,1,1,0.9
1,0,35,0,1,0,1,0,0.9520548
0,1,27,1,0,0,0,1,0.8939394
1,1,39,1,0,0,1,1,0.9007092
0,1,31.7,1,0,0,1,1,0.7954546
0,1,21.9,1,0,0,1,1,0.8
1,1,37,1,0,0,1,1,0.6071429
1,1,43,0,1,0,1,1,0.537415
0,1,19.4,0,1,0,1,1,0.7987805
1,1,38.4,1,0,0,1,1,0.802139
0,1,31,1,0,0,1,1,0.4950495
1,1,32,1,0,0,1,1,0.925
1,1,35,1,0,0,1,1,0.9007633
1,1,39,1,0,0,1,1,0.7993475
1,1,23.4,1,0,0,0,1,0.7788945
1,1,30,1,0,0,1,1,0.4021739
1,1,38,1,0,0,1,1,0.8984176
1,1,23.4,1,0,0,1,1,0.8039216
1,1,36,1,0,0,1,1,0.9506173
1,1,25,1,0,0,1,1,0.7727273
0,1,30.7,1,0,0,1,1,0.4929577
1,1,37,1,0,0,1,1,0.8985507
1,1,33,1,0,0,1,1,0.8030303
0,1,37.8,1,0,0,1,0,0.8019324
1,1,28.3,1,0,0,1,1,0.9047619
1,1,26,0,1,0,1,1,0.5347593
1,1,28,1,0,0,1,1,0.9492754
1,1,10.4,1,0,0,1,1,0.6666667
1,1,29.9,1,0,0,0,1,0.4891304
1,1,37.5,1,0,0,0,1,0.8784314
1,0,35,1,0,1,1,0,0.9010989
1,1,29,1,0,0,1,1,0.798995
0,1,35,1,0,0,0,1,0.796875
1,1,34.1,1,0,0,1,1,0.902439
1,1,36.4,1,0,0,1,1,0.5620689
1,1,22,1,0,0,0,1,0.7446808
1,1,40,1,0,0,1,1,0.8993056
1,1,28,1,0,0,1,1,0.7142857
1,1,36,0,1,0,1,1,0.5263158
1,1,38,1,0,0,1,1,0.8
0,1,23,1,0,0,0,1,0.6593407
0,0,20,0,1,0,0,1,0.9
1,1,5.6,1,0,0,1,1,0.8
0,1,26.1,1,0,0,1,1,0.5285714
0,1,15.5,1,0,0,0,1,0.5945946
1,1,42,1,0,0,1,1,0.8954248
1,1,40.8,1,0,0,1,1,0.8019802
0,1,41,1,0,1,1,1,0.7938932
1,1,39.1,1,0,0,1,1,0.2790698
1,1,21.8,1,0,0,1,1,0.8021978
1,1,22,1,0,0,1,1,0.7797834
1,1,15,1,0,0,1,1,0.4903846
0,1,35,1,0,0,1,1,0.7402299
0,1,34,1,0,0,0,1,0.9023256
1,1,38,1,0,1,1,1,0.9
1,0,33,1,0,0,1,1,0.743083
1,1,36,1,0,0,1,0,0.9513513
0,1,38,1,0,0,1,1,0.744
1,1,32,1,0,0,1,1,0.9006211
0,1,31,1,0,0,1,1,0.9030303
1,0,41,1,0,0,1,0,0.6983696
1,0,30.5,1,0,0,1,0,0.9545454
1,1,25,1,0,0,1,1,0.7254902
1,1,26,1,0,0,0,1,1
1,1,41,1,0,0,1,1,0.8972602
0,1,19,1,0,0,0,1,0.8290156
1,1,38.6,1,0,0,1,1,0.3269231
1,1,40.1,1,0,0,1,1,0.75
0,1,20,1,0,0,0,1,0.8024691
1,1,42.7,1,0,0,1,1,0.8881579
0,1,38,1,0,0,1,1,0.7969925
0,1,31,1,0,0,0,1,0.9765625
0,1,43,1,0,0,1,1,0.4137931
0,1,26,1,0,0,1,1,0.8974359
1,1,14,1,0,0,1,1,0.5638298
0,1,34,1,0,0,1,0,0.8
1,1,29.6,0,1,0,1,1,0.4983389
0,1,29.3,1,0,0,1,1,0.9469026
0,1,12.1,1,0,0,1,1,0.8
1,1,34.9,0,1,0,1,1,0.4986301
0,1,37,1,0,0,1,1,0.95
0,1,35,1,0,0,0,1,0.8965517
0,1,40,1,0,0,1,1,1
0,1,32.1,1,0,0,1,1,0.6190476
1,1,38,1,0,0,1,1,0.9
1,1,29,1,0,0,1,1,0.7333333
0,1,39,1,0,0,0,1,0.5714286
0,1,26,1,0,0,1,1,1
1,1,32,1,0,0,1,1,0.8
1,1,33.1,1,0,0,1,1,0.40625
1,1,26,1,0,0,1,1,0.6666667
1,1,34,1,0,0,1,1,0.8
1,1,39.9,1,0,0,1,1,0.8045977
1,1,39,0,1,0,1,1,0.7484277
1,1,44.5,1,0,0,1,1,0.8653846
1,1,26,1,0,0,1,1,0.9017857
0,1,26,1,0,1,1,1,1
1,1,30.5,1,0,0,1,1,0.7991803
1,1,31,0,1,0,0,0,0.8
1,1,40,1,0,0,1,1,0.7981651
1,1,32.5,0,1,0,1,1,0.7708333
0,0,19,1,0,0,1,1,0.8031496
1,1,28,1,0,1,1,0,0.7259074
0,1,39,0,1,0,0,1,0.8
1,1,45.4,1,0,0,1,1,0.6666667
1,0,25,1,0,0,1,1,1.20548
1,1,32,1,0,0,1,0,0.7882736
0,1,35,1,0,0,1,1,0.9485294
1,1,37,1,0,0,0,1,0.8
1,1,11,1,0,0,1,1,0.6060606
1,1,38,1,0,0,1,1,0.7987013
1,1,24,1,0,0,1,1,0.5068493
1,1,33.6,1,0,0,1,1,0.8
0,1,27,1,0,0,1,1,0.5641026
1,1,41,1,0,0,1,1,0.8
1,1,23,1,0,0,0,1,0.4516129
1,1,33,1,0,0,1,1,0.9230769
1,1,48.7,1,0,0,1,1,0.7575758
0,1,35.1,1,0,1,1,1,0.5
1,1,41,1,0,1,1,1,0.6578947
0,1,29,1,0,0,1,1,0.8
1,1,27,1,0,0,1,1,0.8026316
1,1,20,1,0,0,1,1,0.5194445
1,1,24,0,1,0,0,1,0.9
0,1,37.4,1,0,0,1,1,0.9037037
1,1,32.4,1,0,0,0,1,0.7624114
1,1,34,1,0,0,1,1,0.5882353
1,1,30.7,1,0,0,1,1,0.8
0,1,29.3,1,0,0,0,1,0.8333333
1,1,19.3,1,0,0,1,1,0.5585586
1,1,23.9,1,0,0,1,1,0.1639344
1,1,25.2,1,0,0,1,1,0.8026316
1,1,15,1,0,0,1,1,1
1,1,23.3,1,0,0,1,1,0.6923077
1,1,25,1,0,0,1,1,0.5555556
1,1,29.7,1,0,0,1,1,0.9014084
1,1,40.9,1,0,0,1,1,0.896
0,0,19,1,0,1,1,0,0.6410257
1,1,40,1,0,0,1,1,0.8642857
0,1,35.6,1,0,0,1,1,0.7508772
0,1,41,1,0,0,1,1,0.6763636
1,1,34,1,0,1,1,0,0.6836364
0,1,33,1,0,0,0,1,0.9516129
0,1,34,1,0,0,1,1,0.8
0,1,20,1,0,0,1,1,0.6666667
1,0,31.1,1,0,0,1,1,0.8
1,1,62,1,0,0,0,1,0.9495798
1,1,28.2,1,0,0,0,1,0.9
1,0,32.5,1,0,0,1,1,0.9034483
1,1,33,1,0,0,1,1,0.7936508
1,1,55,1,0,0,1,1,0.5106383
1,0,38,0,1,0,0,0,0.7906977
1,1,29.5,1,0,0,1,1,0.904
0,1,36,1,0,0,1,1,0.8993711
1,0,51,1,0,0,1,1,0.8
0,1,34,1,0,0,1,1,0.8988764
1,1,32.2,1,0,0,1,1,0.9027778
1,1,31,1,0,0,1,1,0.7632653
1,1,30,1,0,0,1,1,0.948718
0,1,52,1,0,0,1,1,1.176471
1,1,39.5,1,0,0,1,1,0.8
1,1,34,1,0,0,1,1,0.8
1,1,31.4,1,0,0,1,1,0.297619
0,1,30.7,1,0,0,1,1,0.75
1,1,32.3,1,0,0,1,1,0.8
0,1,30,1,0,0,0,1,0.9452202
0,1,26.8,1,0,0,0,1,0.90106
0,0,41.5,1,0,1,1,0,0.9506726
0,1,21,1,0,0,1,1,0.5555556
1,1,27,1,0,0,1,1,0.5109489
1,1,32,1,0,1,0,0,0.9224598
1,1,36.5,1,0,0,1,0,0.8956522
0,0,39,1,0,0,1,0,0.9469026
1,1,33,1,0,0,1,1,0.8
1,0,31.1,1,0,0,1,0,0.8032787
0,1,33,1,0,0,1,1,1.37931
1,1,32,1,0,0,1,1,0.7412399
1,1,35,1,0,0,1,1,0.952
0,1,19,1,0,0,0,1,0.3404255
1,1,35.9,1,0,0,1,1,0.9527559
0,1,10,1,0,0,1,1,1.333333
1,1,31.9,1,0,0,1,1,0.5
1,1,35,1,0,0,1,1,1
1,1,57,1,0,0,1,1,0.8
1,1,26,1,0,0,1,1,0.9028571
1,1,37,1,0,0,1,1,0.7112971
1,1,13,0,1,0,0,0,0.5357143
1,1,53,1,0,0,1,1,0.6734694
0,0,38.6,0,1,0,1,0,0.8017621
1,1,20,1,0,0,1,1,0.8
1,1,33,1,0,0,1,1,0.9
1,1,38,1,0,0,1,1,0.8
0,1,38,1,0,0,1,1,0.8012422
0,1,37,1,0,0,0,0,0.504
1,1,31,1,0,0,1,1,0.5970149
1,1,33.1,1,0,0,1,0,0.8962264
1,1,28.9,1,0,0,1,1,0.7058824
0,1,27,1,0,0,0,1,0.8
0,1,28,1,0,0,0,1,0.9
1,1,21.6,1,0,0,1,1,0.5204461
1,1,26,1,0,1,0,1,0.9
1,1,39,1,0,0,1,1,0.5081967
1,1,24.1,0,1,0,1,1,0.7258065
1,1,37,1,0,0,1,1,0.9026549
1,1,38.4,0,1,0,1,1,1
1,1,24,1,0,0,1,1,0.8970588
0,1,30,1,0,0,1,1,0.6035242
1,1,29.3,1,0,0,1,1,0.8
1,1,26,1,0,0,1,1,0.8820755
1,1,25.4,1,0,0,1,1,0.95
0,1,33.7,1,0,0,1,1,0.9534883
1,1,26,1,0,0,1,1,0.5859375
1,1,37,1,0,1,1,0,0.9537037
1,1,21.9,1,0,0,1,1,0.5818182
1,1,27,1,0,0,0,1,0.8
1,1,34,0,1,0,1,1,0.9515151
0,1,35,0,1,0,0,0,0.7990654
1,1,40,1,0,0,1,1,0.4009217
1,1,44,1,0,0,1,1,0.6879699
1,0,37,1,0,0,1,0,0.797546
1,0,34.8,1,0,0,1,1,0.8
1,1,45,1,0,0,1,1,0.9
0,0,45,0,1,0,0,0,0.6965517
1,1,34,1,0,0,1,1,0.9019608
0,1,37,1,0,0,0,1,0.8333333
1,1,25.8,1,0,0,1,1,0.8
1,1,27,1,0,0,1,1,0.8028169
1,1,53,1,0,0,1,1,0.7703704
1,1,24,1,0,0,1,1,0.898374
0,1,41.4,1,0,0,1,1,0.7986577
1,0,32.2,0,1,0,1,0,0.8
0,1,33.3,1,0,0,0,1,0.8
1,1,36,1,0,0,1,1,0.8015873
1,1,38.5,1,0,0,0,1,0.9290323
1,1,34.7,1,0,0,1,1,0.7004378
0,1,33,1,0,0,1,1,0.7777778
1,1,44.8,1,0,0,1,1,0.9181035
1,1,34.9,1,0,0,1,1,0.9092484
0,0,27,1,0,0,1,0,0.7352941
1,1,32,1,0,0,1,1,0.4375
0,1,22.8,1,0,0,0,1,0.2923976
1,0,32,1,0,0,1,0,0.8024691
0,1,21,1,0,0,1,0,0.3809524
0,1,26.2,1,0,0,0,1,0.9076923
