Married,Credit.Guidelines,Other.Obligations. As.Percent. Of. Income,Non-Hispanic White,Non-Hispanic Black,Hispanic,Male,Approved,Present Loan to Value
1,1,34.00%,1,0,0,1,1,90.10%
1,1,32.00%,1,0,0,0,1,95.30%
1,1,36.00%,1,0,0,1,1,73.60%
1,0,39.00%,1,0,0,1,0,79.80%
0,1,42.00%,1,0,0,1,0,91.40%
0,1,39.00%,0,1,0,0,0,76.50%
0,1,31.00%,1,0,0,1,1,80.30%
1,1,23.10%,0,1,0,1,1,87.00%
0,1,38.00%,1,0,0,1,1,90.30%
0,1,50.00%,1,0,0,1,0,50.80%
1,1,22.00%,1,0,1,0,1,85.30%
0,1,35.30%,1,0,0,1,1,94.40%
0,1,36.50%,1,0,0,0,1,80.00%
0,1,31.00%,1,0,0,0,1,90.10%
1,1,29.00%,1,0,0,1,1,66.70%
1,1,36.00%,1,0,0,1,1,83.90%
1,1,34.00%,0,1,0,1,1,73.70%
1,1,21.00%,1,0,0,1,1,48.80%
1,0,37.00%,1,0,0,1,0,82.00%
0,1,35.70%,1,0,0,1,1,92.20%
1,1,36.80%,1,0,0,1,1,89.80%
1,1,36.00%,1,0,1,0,1,90.00%
0,1,35.00%,1,0,0,0,1,75.00%
0,1,26.00%,1,0,0,1,1,80.00%
0,1,29.00%,1,0,0,1,1,33.90%
0,1,22.30%,1,0,0,1,1,65.90%
0,1,32.20%,1,0,1,0,1,90.30%
1,1,37.00%,1,0,0,1,1,69.20%
0,1,27.00%,0,1,0,1,0,80.00%
0,1,32.00%,1,0,0,1,1,69.60%
1,1,19.00%,1,0,1,1,0,76.30%
1,1,21.20%,1,0,0,1,1,53.30%
1,1,32.00%,1,0,0,1,1,75.00%
0,1,25.00%,1,0,0,0,1,28.00%
0,1,33.00%,1,0,0,1,1,66.80%
1,1,34.10%,1,0,1,1,1,89.80%
1,1,58.00%,0,1,0,1,1,100.00%
1,0,36.00%,1,0,0,1,1,80.00%
1,1,30.00%,1,0,0,1,1,66.70%
1,1,22.00%,1,0,0,1,1,89.30%
1,1,33.00%,1,0,0,0,1,47.50%
1,1,27.60%,1,0,0,1,1,101.20%
1,1,36.10%,1,0,0,1,1,79.80%
0,1,36.00%,1,0,0,0,1,64.10%
1,1,37.10%,1,0,0,1,1,80.00%
0,1,30.00%,1,0,0,0,1,80.00%
1,1,41.00%,1,0,0,1,1,80.00%
0,1,17.00%,1,0,0,1,1,79.40%
0,1,21.00%,1,0,0,1,1,74.70%
1,1,33.20%,1,0,0,1,1,90.10%
1,1,28.80%,1,0,0,1,1,74.80%
1,1,38.10%,1,0,0,1,1,55.40%
1,1,37.00%,1,0,0,1,1,92.30%
1,1,39.30%,1,0,0,1,1,79.50%
1,0,49.00%,1,0,0,0,0,90.20%
1,1,17.00%,1,0,0,1,1,80.10%
1,1,30.00%,1,0,0,1,1,53.00%
1,1,39.80%,1,0,0,1,0,71.60%
0,1,36.00%,1,0,0,1,1,77.80%
0,1,33.80%,1,0,0,0,1,77.80%
0,1,33.00%,1,0,0,0,1,80.90%
0,0,20.00%,1,0,0,1,0,80.00%
0,1,30.00%,1,0,0,1,1,80.10%
1,1,36.00%,1,0,0,0,1,54.90%
0,0,24.00%,1,0,0,1,1,90.00%
0,1,34.70%,0,1,0,0,1,80.00%
1,1,40.00%,1,0,0,1,1,52.60%
0,1,35.60%,1,0,0,0,1,57.30%
0,1,38.00%,1,0,0,0,1,80.00%
1,1,43.00%,1,0,0,1,1,100.00%
1,1,35.00%,1,0,0,1,1,79.80%
1,1,25.00%,1,0,0,1,1,164.70%
0,1,35.00%,1,0,0,0,1,80.00%
0,1,34.00%,1,0,0,0,1,50.00%
1,1,39.00%,0,1,0,0,1,80.40%
1,1,29.00%,1,0,1,1,1,74.60%
1,1,27.00%,1,0,0,1,1,65.40%
1,1,36.50%,1,0,0,1,1,89.90%
1,1,35.00%,1,0,0,1,1,52.20%
1,1,37.00%,1,0,0,0,1,100.00%
1,1,37.30%,1,0,0,1,1,95.30%
1,1,42.00%,0,1,0,1,1,89.50%
1,0,36.70%,0,1,0,1,0,67.10%
1,1,21.70%,1,0,0,1,1,79.30%
0,1,37.30%,1,0,0,1,1,55.60%
0,1,33.70%,1,0,0,0,1,35.70%
1,1,28.00%,1,0,0,1,1,64.50%
1,1,36.60%,1,0,0,1,1,89.90%
1,1,26.60%,1,0,0,1,1,64.80%
0,1,19.00%,1,0,0,0,1,89.70%
1,1,37.00%,1,0,0,1,1,88.60%
1,1,37.00%,1,0,0,1,1,80.00%
0,1,38.00%,0,1,0,1,1,90.00%
0,1,34.00%,1,0,0,1,1,92.10%
1,0,32.00%,1,0,0,0,0,80.10%
1,1,28.00%,1,0,0,1,1,90.30%
0,1,27.00%,1,0,0,1,1,22.00%
1,1,34.00%,1,0,0,1,1,79.50%
1,1,37.00%,1,0,0,1,1,79.80%
0,1,36.00%,1,0,0,1,1,76.40%
1,1,36.90%,1,0,0,1,1,91.90%
1,1,32.00%,1,0,0,1,1,74.80%
1,1,36.60%,1,0,0,1,1,71.90%
1,1,34.00%,1,0,0,1,1,80.00%
0,1,34.00%,1,0,0,1,1,9.30%
1,1,33.90%,1,0,0,1,1,87.10%
1,1,26.00%,1,0,0,1,1,80.00%
1,1,35.00%,0,1,0,1,1,90.00%
1,1,34.10%,1,0,0,1,1,88.30%
0,1,38.40%,1,0,0,1,1,80.20%
1,1,30.00%,1,0,0,1,1,78.40%
0,0,70.00%,1,0,0,1,0,90.30%
1,1,47.00%,1,0,0,1,1,72.60%
1,1,25.00%,1,0,0,1,1,93.00%
1,1,32.00%,0,1,0,1,1,90.00%
1,0,37.00%,1,0,0,1,0,86.80%
1,1,24.00%,1,0,0,1,1,70.10%
1,1,33.30%,1,0,0,1,1,46.40%
1,1,35.00%,1,0,0,1,1,62.10%
0,1,33.70%,0,1,0,1,1,80.00%
0,1,42.00%,1,0,0,0,1,95.50%
1,0,37.00%,1,0,0,1,0,89.60%
1,1,39.00%,1,0,0,1,1,64.60%
1,1,32.00%,1,0,0,1,1,89.90%
1,1,37.00%,1,0,0,1,1,89.90%
0,1,29.60%,1,0,0,0,1,70.30%
1,1,37.30%,0,1,0,1,1,80.00%
0,1,34.00%,1,0,0,1,1,89.60%
1,1,23.00%,1,0,0,1,1,54.30%
0,1,34.00%,1,0,0,0,1,78.60%
0,0,37.00%,1,0,0,0,0,89.90%
1,1,28.00%,1,0,0,1,1,80.00%
0,1,33.00%,1,0,1,0,1,80.00%
1,1,33.00%,1,0,0,1,0,89.90%
1,1,36.10%,1,0,0,1,1,69.30%
0,1,25.00%,1,0,0,1,1,80.20%
0,0,46.00%,1,0,0,1,0,90.00%
1,1,29.00%,1,0,0,1,1,72.20%
0,1,30.30%,1,0,0,1,0,67.80%
0,1,30.60%,1,0,0,0,1,80.00%
1,1,31.30%,1,0,0,1,1,74.00%
1,1,43.00%,1,0,0,1,1,80.00%
1,1,18.00%,1,0,0,1,1,105.60%
0,1,32.00%,1,0,0,1,1,75.00%
1,1,33.00%,1,0,0,1,1,50.00%
1,1,31.90%,1,0,0,1,1,65.60%
1,1,30.40%,1,0,0,1,1,36.40%
1,1,34.80%,1,0,0,1,1,80.00%
0,1,34.00%,1,0,1,1,1,61.50%
0,0,42.90%,1,0,0,0,0,75.10%
0,1,28.00%,1,0,0,1,1,90.00%
1,1,36.10%,1,0,0,1,1,74.80%
0,1,33.00%,1,0,0,0,1,79.60%
1,1,36.70%,1,0,0,1,1,70.80%
0,1,29.20%,1,0,0,1,1,90.20%
1,0,95.00%,1,0,0,1,1,54.70%
0,1,28.00%,1,0,0,1,1,90.00%
1,1,39.00%,1,0,0,1,1,89.90%
1,0,21.00%,0,1,0,1,0,61.30%
1,1,26.30%,1,0,0,1,1,61.50%
1,1,33.70%,1,0,0,0,1,42.70%
1,1,29.20%,1,0,1,1,1,72.20%
1,1,21.90%,1,0,0,0,1,80.00%
0,1,34.20%,1,0,0,1,1,90.40%
0,1,33.00%,1,0,0,1,0,84.60%
0,1,32.00%,1,0,0,0,1,92.20%
1,1,26.00%,1,0,0,1,1,88.50%
1,1,45.00%,1,0,0,1,0,220.00%
1,1,28.50%,1,0,0,1,1,65.60%
0,1,25.00%,1,0,0,1,1,61.40%
0,1,22.00%,1,0,0,1,1,69.40%
1,0,56.00%,1,0,0,1,0,257.10%
1,1,28.50%,0,1,0,1,1,80.20%
0,1,31.00%,1,0,0,0,1,79.90%
1,1,35.30%,1,0,0,1,1,37.50%
1,1,38.00%,0,1,0,0,0,95.40%
0,1,41.00%,1,0,0,1,1,71.90%
1,1,33.00%,1,0,0,1,1,70.00%
1,1,29.00%,1,0,0,1,1,71.90%
0,1,30.00%,1,0,0,1,1,80.00%
1,1,37.00%,1,0,0,1,1,57.80%
1,0,35.80%,0,1,0,1,0,89.80%
1,1,39.00%,1,0,0,1,1,90.10%
1,1,12.00%,1,0,0,1,1,33.30%
0,1,35.30%,1,0,1,1,1,89.70%
1,1,45.00%,0,1,0,1,1,100.00%
1,1,32.00%,1,0,0,1,1,92.10%
0,1,31.40%,1,0,1,1,1,80.00%
1,1,23.00%,1,0,0,1,1,55.30%
1,1,21.00%,1,0,0,0,1,43.80%
1,1,32.00%,1,0,0,1,1,90.40%
0,1,37.10%,1,0,0,1,1,90.20%
1,1,37.90%,1,0,0,1,1,80.00%
1,1,18.00%,1,0,0,1,1,57.90%
0,1,46.00%,1,0,0,1,1,77.10%
1,1,31.00%,1,0,0,1,1,72.40%
0,1,23.00%,1,0,0,1,1,61.90%
0,1,26.00%,1,0,0,0,1,74.70%
1,1,28.70%,1,0,0,1,1,76.20%
1,1,40.40%,1,0,0,1,1,80.00%
1,1,34.00%,1,0,0,1,1,80.00%
1,1,35.80%,1,0,0,1,1,90.30%
1,1,37.00%,1,0,0,1,1,148.80%
1,1,37.00%,1,0,1,1,1,92.30%
1,1,36.00%,0,1,0,1,1,74.90%
1,1,14.30%,1,0,0,1,1,8.80%
1,1,36.30%,1,0,0,1,1,48.70%
1,1,38.00%,1,0,0,1,1,57.50%
1,1,47.00%,1,0,0,1,1,100.00%
1,1,44.00%,1,0,0,1,1,41.70%
0,1,8.00%,1,0,0,1,1,79.70%
0,1,40.70%,1,0,0,1,1,74.90%
1,1,26.60%,1,0,0,1,1,89.90%
1,1,38.60%,1,0,0,1,1,86.20%
1,0,34.00%,1,0,0,1,1,79.70%
0,1,36.00%,1,0,0,1,1,78.40%
1,1,31.70%,1,0,0,1,1,50.60%
1,1,35.70%,1,0,0,1,1,70.00%
0,1,32.00%,1,0,0,1,1,80.00%
1,1,24.40%,1,0,0,1,1,80.00%
0,0,47.90%,1,0,0,1,1,70.70%
0,1,35.00%,1,0,0,1,1,92.20%
1,1,39.00%,1,0,0,1,1,61.00%
1,1,32.00%,0,1,0,1,1,94.20%
0,1,47.00%,1,0,1,0,0,94.90%
1,1,28.40%,1,0,0,1,1,35.60%
1,1,39.00%,1,0,0,1,1,90.00%
1,1,11.40%,1,0,0,0,1,54.50%
1,1,39.00%,1,0,0,1,1,89.90%
0,1,35.70%,1,0,0,1,1,75.30%
1,0,32.00%,1,0,1,0,1,92.10%
1,1,26.00%,1,0,0,1,1,51.70%
0,1,16.00%,1,0,0,1,1,100.00%
0,1,30.10%,1,0,0,1,0,90.20%
1,1,30.00%,1,0,0,0,1,90.10%
1,1,36.00%,0,1,0,1,1,80.00%
1,1,38.20%,1,0,1,1,1,76.50%
1,1,27.00%,1,0,0,1,1,90.00%
1,1,19.60%,1,0,0,1,1,56.30%
1,1,33.00%,1,0,0,1,1,90.20%
1,1,26.00%,1,0,0,1,1,21.70%
1,1,34.00%,1,0,0,1,1,53.50%
1,1,37.70%,1,0,0,1,1,75.80%
0,1,61.00%,1,0,0,1,1,80.00%
1,1,32.00%,0,1,0,1,1,89.40%
0,1,36.00%,0,1,0,0,1,65.40%
0,1,16.80%,1,0,1,0,1,89.80%
0,1,36.00%,1,0,0,0,1,80.00%
1,1,37.50%,0,1,0,1,1,89.60%
1,1,30.00%,1,0,0,1,1,100.00%
1,1,26.90%,1,0,0,1,1,79.90%
0,1,40.00%,0,1,0,0,1,88.70%
1,1,39.00%,1,0,0,1,1,89.90%
1,1,28.00%,1,0,0,1,1,74.90%
0,0,31.00%,0,1,0,0,0,63.20%
1,1,41.00%,1,0,0,1,1,58.10%
0,1,33.60%,1,0,0,1,1,80.10%
1,1,38.50%,1,0,0,1,1,72.40%
1,1,37.00%,1,0,0,1,1,79.80%
1,0,31.00%,0,1,0,1,0,90.00%
1,1,22.80%,1,0,0,1,1,76.20%
1,1,40.00%,1,0,0,1,1,80.30%
0,1,22.00%,1,0,0,1,1,79.30%
1,1,31.00%,1,0,0,1,1,88.90%
1,0,44.00%,1,0,0,1,1,67.70%
1,1,28.10%,1,0,0,1,1,47.70%
1,1,32.00%,1,0,1,1,1,80.10%
1,0,38.00%,1,0,0,1,0,89.50%
0,1,35.00%,1,0,0,1,1,89.90%
1,1,32.00%,1,0,0,1,1,80.00%
0,1,31.10%,1,0,0,1,1,90.60%
1,1,39.00%,1,0,0,1,1,75.10%
0,1,34.70%,1,0,0,0,1,76.00%
1,1,26.60%,1,0,0,1,1,41.20%
0,1,29.00%,1,0,0,1,1,40.60%
1,1,21.20%,1,0,0,1,1,88.20%
0,1,36.00%,1,0,0,1,0,80.50%
1,1,34.00%,1,0,0,1,1,87.90%
1,1,29.00%,1,0,0,1,1,37.40%
1,1,32.80%,1,0,1,1,1,90.00%
1,1,20.90%,1,0,0,1,1,72.90%
1,1,20.00%,1,0,0,1,1,93.90%
0,1,37.00%,1,0,0,0,1,70.70%
1,1,31.60%,1,0,0,1,1,80.20%
0,1,35.80%,1,0,0,1,1,90.40%
1,0,41.00%,1,0,0,1,0,72.00%
1,1,44.00%,1,0,0,1,0,82.10%
1,1,32.00%,1,0,0,0,1,27.80%
1,1,37.00%,1,0,0,1,1,65.00%
1,1,32.00%,1,0,0,1,1,68.10%
1,1,44.00%,1,0,0,1,1,80.30%
0,1,34.00%,1,0,0,1,1,80.00%
1,1,26.60%,1,0,0,1,1,90.00%
1,1,35.00%,1,0,0,0,1,95.20%
1,1,27.00%,1,0,0,1,1,89.40%
1,1,39.00%,1,0,0,1,1,90.10%
1,1,31.70%,1,0,0,1,1,79.50%
1,0,21.90%,0,1,0,1,0,80.00%
0,1,37.00%,1,0,0,0,1,60.70%
1,1,43.00%,1,0,0,1,1,53.70%
0,1,19.40%,1,0,0,1,1,79.90%
0,1,38.40%,1,0,0,1,1,80.20%
1,1,31.00%,1,0,0,1,1,49.50%
1,1,32.00%,0,1,0,1,1,92.50%
0,1,35.00%,0,1,0,1,1,90.10%
1,1,39.00%,1,0,0,1,1,79.90%
0,1,23.40%,1,0,0,1,1,77.90%
1,1,30.00%,1,0,0,1,1,40.20%
1,1,38.00%,1,0,0,1,1,89.80%
1,1,23.40%,1,0,0,1,1,80.40%
1,1,36.00%,1,0,0,0,1,95.10%
1,1,25.00%,1,0,0,1,1,77.30%
1,1,30.70%,1,0,0,1,1,49.30%
1,1,37.00%,1,0,0,1,1,89.90%
1,1,33.00%,1,0,0,1,1,80.30%
1,1,37.80%,1,0,0,1,1,80.20%
0,1,28.30%,1,0,0,1,1,90.50%
1,1,26.00%,1,0,0,1,1,53.50%
1,1,28.00%,1,0,0,1,1,94.90%
0,1,10.40%,1,0,0,1,0,66.70%
1,1,29.90%,1,0,0,1,1,48.90%
1,1,37.50%,0,1,0,1,1,87.80%
1,1,35.00%,1,0,0,1,1,90.10%
1,1,29.00%,1,0,0,1,1,79.90%
1,1,35.00%,1,0,0,0,1,79.70%
1,1,34.10%,1,0,0,0,1,90.20%
1,0,36.40%,1,0,1,1,0,56.20%
1,1,22.00%,1,0,0,1,1,74.50%
0,1,40.00%,1,0,0,0,1,89.90%
1,1,28.00%,1,0,0,1,1,71.40%
1,1,36.00%,1,0,0,1,1,52.60%
1,1,38.00%,1,0,0,0,1,80.00%
1,1,23.00%,1,0,0,1,1,65.90%
1,1,20.00%,1,0,0,1,1,90.00%
1,1,5.60%,0,1,0,1,1,80.00%
1,1,26.10%,1,0,0,1,1,52.90%
0,1,15.50%,1,0,0,0,1,59.50%
0,0,42.00%,0,1,0,0,1,89.50%
1,1,40.80%,1,0,0,1,1,80.20%
0,1,41.00%,1,0,0,1,1,79.40%
0,1,39.10%,1,0,0,0,1,27.90%
1,1,21.80%,1,0,0,1,1,80.20%
1,1,22.00%,1,0,0,1,1,78.00%
0,1,15.00%,1,0,1,1,1,49.00%
1,1,35.00%,1,0,0,1,1,74.00%
1,1,34.00%,1,0,0,1,1,90.20%
1,1,38.00%,1,0,0,1,1,90.00%
1,1,33.00%,1,0,0,1,1,74.30%
0,1,36.00%,1,0,0,1,1,95.10%
0,1,38.00%,1,0,0,0,1,74.40%
1,1,32.00%,1,0,1,1,1,90.10%
1,0,31.00%,1,0,0,1,1,90.30%
1,1,41.00%,1,0,0,1,0,69.80%
0,1,30.50%,1,0,0,1,1,95.50%
1,1,25.00%,1,0,0,1,1,72.50%
0,1,26.00%,1,0,0,1,1,100.00%
1,0,41.00%,1,0,0,1,0,89.70%
1,0,19.00%,1,0,0,1,0,82.90%
1,1,38.60%,1,0,0,1,1,32.70%
1,1,20.00%,1,0,0,0,1,80.20%
1,1,42.70%,1,0,0,1,1,88.80%
0,1,38.00%,1,0,0,0,1,79.70%
1,1,31.00%,1,0,0,1,1,97.70%
1,1,43.00%,1,0,0,1,1,41.40%
0,1,26.00%,1,0,0,0,1,89.70%
1,1,14.00%,1,0,0,1,1,56.40%
0,1,34.00%,1,0,0,1,1,80.00%
0,1,29.60%,1,0,0,0,1,49.80%
0,1,29.30%,1,0,0,1,1,94.70%
0,1,12.10%,1,0,0,1,1,80.00%
1,1,34.90%,1,0,0,1,1,49.90%
0,1,37.00%,1,0,0,1,0,95.00%
1,1,35.00%,0,1,0,1,1,89.70%
0,1,40.00%,1,0,0,1,1,100.00%
0,1,32.10%,1,0,0,1,1,61.90%
1,1,38.00%,0,1,0,1,1,90.00%
0,1,29.00%,1,0,0,1,1,73.30%
0,1,39.00%,1,0,0,0,1,57.10%
0,1,26.00%,1,0,0,1,1,100.00%
0,1,32.00%,1,0,0,1,1,80.00%
1,1,33.10%,1,0,0,1,1,40.60%
1,1,26.00%,1,0,0,1,1,66.70%
0,1,34.00%,1,0,0,0,1,80.00%
0,1,39.90%,1,0,0,1,1,80.50%
1,1,39.00%,1,0,0,1,1,74.80%
1,1,44.50%,1,0,0,1,1,86.50%
1,1,26.00%,1,0,0,1,1,90.20%
1,1,26.00%,1,0,0,1,1,100.00%
1,1,30.50%,1,0,0,1,1,79.90%
1,1,31.00%,0,1,0,1,1,80.00%
1,1,40.00%,1,0,0,1,1,79.80%
1,1,32.50%,1,0,0,1,1,77.10%
0,1,19.00%,1,0,1,1,1,80.30%
1,1,28.00%,1,0,0,1,1,72.60%
1,1,39.00%,0,1,0,0,0,80.00%
1,1,45.40%,1,0,0,1,1,66.70%
1,1,25.00%,0,1,0,1,1,120.50%
0,0,32.00%,1,0,0,1,1,78.80%
1,1,35.00%,1,0,1,1,0,94.90%
0,1,37.00%,0,1,0,0,1,80.00%
1,1,11.00%,1,0,0,1,1,60.60%
1,0,38.00%,1,0,0,1,1,79.90%
1,1,24.00%,1,0,0,1,0,50.70%
0,1,33.60%,1,0,0,1,1,80.00%
1,1,27.00%,1,0,0,0,1,56.40%
1,1,41.00%,1,0,0,1,1,80.00%
1,1,23.00%,1,0,0,1,1,45.20%
1,1,33.00%,1,0,0,1,1,92.30%
1,1,48.70%,1,0,0,1,1,75.80%
0,1,35.10%,1,0,0,1,1,50.00%
1,1,41.00%,1,0,0,1,1,65.80%
1,1,29.00%,1,0,0,0,1,80.00%
1,1,27.00%,1,0,0,1,1,80.30%
1,1,20.00%,1,0,0,1,1,51.90%
0,1,24.00%,1,0,1,1,1,90.00%
1,1,37.40%,1,0,1,1,1,90.40%
0,1,32.40%,1,0,0,1,1,76.20%
1,1,34.00%,1,0,0,1,1,58.80%
1,1,30.70%,1,0,0,1,1,80.00%
1,1,29.30%,0,1,0,0,1,83.30%
0,1,19.30%,1,0,0,1,1,55.90%
1,1,23.90%,1,0,0,0,1,16.40%
1,1,25.20%,1,0,0,1,1,80.30%
1,1,15.00%,1,0,0,1,1,100.00%
0,1,23.30%,1,0,0,0,1,69.20%
1,1,25.00%,1,0,0,1,1,55.60%
1,1,29.70%,1,0,0,1,1,90.10%
1,1,40.90%,1,0,0,1,1,89.60%
1,1,19.00%,1,0,0,1,1,64.10%
1,1,40.00%,1,0,0,1,1,86.40%
1,1,35.60%,1,0,0,1,1,75.10%
1,1,41.00%,1,0,0,1,1,67.60%
1,1,34.00%,1,0,0,1,1,68.40%
0,0,33.00%,1,0,1,1,0,95.20%
1,1,34.00%,1,0,0,1,1,80.00%
0,1,20.00%,1,0,0,1,1,66.70%
0,1,31.10%,1,0,0,1,1,80.00%
1,1,62.00%,1,0,1,1,0,95.00%
0,1,28.20%,1,0,0,0,1,90.00%
0,1,32.50%,1,0,0,1,1,90.30%
0,1,33.00%,1,0,0,1,1,79.40%
1,0,55.00%,1,0,0,1,1,51.10%
1,1,38.00%,1,0,0,0,1,79.10%
1,1,29.50%,1,0,0,0,1,90.40%
1,0,36.00%,1,0,0,1,1,89.90%
1,1,51.00%,1,0,0,1,1,80.00%
1,1,34.00%,1,0,0,1,1,89.90%
1,0,32.20%,0,1,0,0,0,90.30%
1,1,31.00%,1,0,0,1,1,76.30%
0,1,30.00%,1,0,0,1,1,94.90%
1,0,52.00%,1,0,0,1,1,117.60%
0,1,39.50%,1,0,0,1,1,80.00%
1,1,34.00%,1,0,0,1,1,80.00%
1,1,31.40%,1,0,0,1,1,29.80%
1,1,30.70%,1,0,0,1,1,75.00%
0,1,32.30%,1,0,0,1,1,80.00%
1,1,30.00%,1,0,0,1,1,94.50%
1,1,26.80%,1,0,0,1,1,90.10%
1,1,41.50%,1,0,0,1,1,95.10%
0,1,21.00%,1,0,0,1,1,55.60%
1,1,27.00%,1,0,0,1,1,51.10%
0,1,32.00%,1,0,0,0,1,92.20%
0,1,36.50%,1,0,0,0,1,89.60%
0,0,39.00%,1,0,1,1,0,94.70%
0,1,33.00%,1,0,0,1,1,80.00%
1,1,31.10%,1,0,0,1,1,80.30%
1,1,33.00%,1,0,1,0,0,137.90%
1,1,32.00%,1,0,0,1,0,74.10%
0,0,35.00%,1,0,0,1,0,95.20%
1,1,19.00%,1,0,0,1,1,34.00%
1,0,35.90%,1,0,0,1,0,95.30%
0,1,10.00%,1,0,0,1,1,133.30%
1,1,31.90%,1,0,0,1,1,50.00%
1,1,35.00%,1,0,0,1,1,100.00%
0,1,57.00%,1,0,0,0,1,80.00%
1,1,26.00%,1,0,0,1,1,90.30%
0,1,37.00%,1,0,0,1,1,71.10%
1,1,13.00%,1,0,0,1,1,53.60%
1,1,53.00%,1,0,0,1,1,67.30%
1,1,38.60%,1,0,0,1,1,80.20%
1,1,20.00%,1,0,0,1,1,80.00%
1,1,33.00%,1,0,0,1,1,90.00%
1,1,38.00%,0,1,0,0,0,80.00%
1,1,38.00%,1,0,0,1,1,80.10%
0,0,37.00%,0,1,0,1,0,50.40%
1,1,31.00%,1,0,0,1,1,59.70%
1,1,33.10%,1,0,0,1,1,89.60%
1,1,28.90%,1,0,0,1,1,70.60%
0,1,27.00%,1,0,0,1,1,80.00%
